name,height_cm,weight_kg,reach_cm,strikes_per_min,striking_accuracy,takedown_avg,takedown_accuracy,takedown_defense,submission_avg
Hunter Azure,172.72,65.77,175.26,3.92,0.53,2.08,0.34,0.67,1.3
Michael Byrnes,180.34,70.31,,0.0,0.0,0.0,0.0,0.0,0.0
Yan Cabral,180.34,70.31,185.42,2.02,0.47,1.98,0.35,0.37,1.2
Gleidson Cutis,175.26,70.31,,2.99,0.52,8.28,0.0,0.0,0.0
Sarah D'alelio,170.18,65.77,,2.4,0.33,0.0,0.0,1.0,0.0
Rolando Dy,172.72,65.77,175.26,3.04,0.37,4.47,0.2,0.68,0.0
Jessica Eye,167.64,56.7,167.64,3.86,0.37,4.19,0.4,0.57,0.5
Neal Ewing,,83.91,,2.27,0.6,1.93,0.62,0.0,0.0
Katsuaki Furuki,182.88,76.2,,0.27,0.1,2.67,0.0,0.0,3.0
Ricardo Funch,177.8,77.11,187.96,2.61,0.65,3.57,0.18,0.6,0.0
Mike Guymon,182.88,77.11,187.96,2.75,0.65,0.79,0.37,0.54,1.2
Mando Gutierrez,167.64,61.23,177.8,0.8,0.75,1.33,1.0,0.4,1.0
Young Hwang,175.26,61.23,,0.0,0.0,0.0,0.0,0.0,0.0
Solomon Hutcherson,180.34,83.91,,2.59,0.39,2.59,1.0,0.0,0.0
Hiroshi Izumi,,92.99,,1.95,0.37,2.65,0.7,1.0,0.5
Yoislandy Izquierdo,180.34,70.31,,2.93,0.52,1.4,0.0,0.5,0.0
Cristiane Justino,172.72,65.77,172.72,7.28,0.52,2.25,0.55,0.94,0.4
Myles Jury,177.8,65.77,185.42,2.94,0.42,2.16,0.55,0.5,0.3
Lisa Kyriacou,165.1,56.7,162.56,4.67,0.41,4.4,0.0,0.33,0.0
Juliana Lima,165.1,52.16,165.1,1.94,0.44,2.11,0.31,0.7,0.0
Chris Lytle,180.34,77.11,172.72,3.76,0.45,3.03,0.55,0.55,2.4
Adam Lynn,177.8,70.31,,1.47,0.63,6.95,0.0,0.5,0.0
Alberto Montes,170.18,65.77,175.26,4.98,0.66,4.85,0.0,0.66,9.8
Kennedy Nzechukwu,195.58,107.05,210.82,5.37,0.46,4.89,0.45,0.81,0.2
Umar Nurmagomedov,172.72,61.23,175.26,4.38,0.57,2.15,0.39,0.78,0.3
Alptekin Ozkilic,165.1,56.7,165.1,3.81,0.32,5.72,0.58,0.75,0.0
Ren Ozaki,170.18,61.23,172.72,1.2,0.35,1.07,0.0,0.36,0.0
Pat Pytlik,182.88,77.11,185.42,3.12,0.56,4.56,0.0,0.33,0.0
Mike Pyle,182.88,77.11,187.96,2.74,0.45,2.84,0.35,0.7,1.5
Joe Pyfer,187.96,83.91,190.5,3.72,0.41,3.48,0.41,0.5,0.9
Cristian Quinonez,172.72,61.23,177.8,4.19,0.4,4.55,0.37,0.84,0.0
Jose Quinonez,172.72,61.23,175.26,3.6,0.45,3.0,0.47,0.42,0.6
Landon Quinones,175.26,70.31,177.8,6.77,0.4,7.7,0.33,1.0,0.0
Michel Quinones,177.8,70.31,185.42,2.91,0.29,5.98,0.0,0.36,0.0
Ryan Quinn,172.72,65.77,,2.31,0.41,1.67,0.0,0.0,1.9
Josh Quinlan,182.88,77.11,182.88,3.57,0.42,6.38,0.11,0.71,0.0
Jimmy Quinlan,182.88,83.91,,2.08,0.7,5.94,0.25,0.0,0.0
Vinicius Queiroz,200.66,99.79,,3.67,0.51,4.1,0.7,1.0,0.7
Nate Quarry,182.88,83.91,182.88,4.96,0.44,2.8,0.33,0.6,0.0
Billy Quarantillo,177.8,65.77,177.8,7.44,0.54,5.83,0.24,0.61,1.0
Gary Quan,172.72,64.86,,0.0,0.0,0.0,0.0,0.0,0.0
Bao Quach,160.02,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
Qiu Lun,172.72,56.7,167.64,3.51,0.46,1.78,0.18,0.68,0.0
CM Punk,185.42,77.11,185.42,1.1,0.23,4.87,0.11,0.0,0.0
Andrey Pulyaev,193.04,83.91,198.12,6.53,0.68,3.0,0.5,0.8,0.0
Jens Pulver,170.18,65.77,177.8,2.12,0.37,3.13,0.33,0.63,0.3
Josh Pulsifer,177.8,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
Hugh Pulley,182.88,70.31,,4.47,0.63,3.27,0.66,0.69,0.0
Juan Manuel Puig,175.26,65.77,,4.91,0.23,7.17,0.0,0.0,0.0
Bubba Pugh,177.8,83.91,,2.87,0.67,2.6,0.57,0.8,0.0
Juan Puerta,175.26,56.7,180.34,1.27,0.39,1.27,1.0,0.0,0.0
Claudio Puelles,177.8,70.31,182.88,1.56,0.49,2.78,0.36,0.6,1.2
Lucie Pudilova,172.72,56.7,170.18,3.6,0.37,4.07,0.31,0.67,0.6
Daniel Puder,190.5,106.59,,2.77,0.68,1.17,0.5,0.81,9.0
Cole Province,175.26,65.77,172.72,1.47,0.44,2.72,0.5,0.83,1.0
Joe Proctor,177.8,70.31,182.88,3.39,0.36,3.93,0.0,0.7,1.8
Lara Procopio,162.56,56.7,170.18,5.64,0.58,6.5,0.47,0.5,0.3
Jiri Prochazka,190.5,92.99,203.2,5.74,0.55,5.7,0.6,0.68,0.2
Brent Primus,177.8,70.31,,1.73,0.39,2.27,0.38,0.0,2.0
Shane Primm,190.5,92.99,,0.83,0.26,2.25,0.2,0.0,0.0
Niko Price,182.88,77.11,193.04,5.21,0.42,5.58,0.29,0.52,0.7
Chris Price,187.96,83.91,,1.44,0.66,2.59,0.0,0.33,2.2
Dorian Price,190.5,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Prepolec,177.8,77.11,177.8,3.2,0.34,4.7,0.0,0.4,0.0
Philip Preece,172.72,92.99,,0.8,0.72,0.7,0.0,0.0,0.0
Michel Prazeres,167.64,77.11,170.18,2.38,0.47,2.51,0.36,0.47,0.6
Carlos Prates,185.42,77.11,198.12,4.39,0.57,4.6,1.0,0.91,0.0
Carlo Prater,180.34,70.31,182.88,2.03,0.47,4.07,0.09,0.57,1.7
Ricardo Prasel,200.66,107.95,198.12,2.21,0.57,7.83,0.0,0.0,0.0
Trevor Prangley,185.42,83.91,190.5,2.59,0.6,2.02,0.55,0.74,1.0
Francisco Prado,177.8,77.11,175.26,4.38,0.41,5.32,0.09,0.25,0.3
Wagner Prado,182.88,92.99,187.96,1.72,0.4,3.06,0.0,0.22,0.0
Marcin Prachnio,190.5,92.99,187.96,5.57,0.54,3.24,0.2,0.53,0.0
Devin Powell,182.88,70.31,185.42,2.88,0.41,3.67,0.0,0.0,0.6
Ruan Potts,187.96,112.04,190.5,0.85,0.37,5.92,0.16,0.33,2.3
Dylan Potter,187.96,102.06,195.58,3.1,0.48,5.78,0.0,0.33,1.1
Callan Potter,182.88,77.11,182.88,3.18,0.5,4.72,0.66,1.0,0.0
Ihor Potieria,190.5,83.91,190.5,4.44,0.5,4.96,0.18,0.66,0.0
Parker Porter,182.88,120.2,190.5,6.55,0.5,6.32,0.26,0.66,0.5
Felipe Portela,,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Poppeck,187.96,92.99,,4.01,0.57,9.81,0.0,0.0,0.0
Grigory Popov,170.18,61.23,172.72,3.63,0.37,4.2,0.0,0.45,0.0
Santiago Ponzinibbio,182.88,77.11,185.42,4.8,0.41,4.61,0.32,0.71,0.0
Mike Polchlopek,193.04,129.27,,2.0,0.38,1.33,0.0,0.0,0.0
