event_name,fighter_1,fighter_2,winner,method,fighter_1_kd,fighter_1_sig_str,f1_sig_head,f1_sig_body,f1_sig_leg,f1_sig_distance,f1_sig_clinch,f1_sig_ground,fighter_1_td,fighter_1_sub_att,fighter_1_rev,fighter_1_ctrl,fighter_2_kd,fighter_2_sig_str,f2_sig_head,f2_sig_body,f2_sig_leg,f2_sig_distance,f2_sig_clinch,f2_sig_ground,fighter_2_td,fighter_2_sub_att,fighter_2_rev,fighter_2_ctrl,round_num,time
UFC 292: Sterling vs. O'Malley,Karine Silva,Maryna Moroz,Karine Silva, Submission ,1,0.56,0.5,0.23,0.26,0.6,0.36,0.03,1.0,1,0,0.51,0,0.29,0.5,0.43,0.06,0.62,0.37,0.0,0.0,0,1,1.41,1,4:59
UFC Fight Night: Holloway vs. The Korean Zombie,SeungWoo Choi,Jarno Errens,SeungWoo Choi, Decision - Unanimous ,1,0.48,0.39,0.14,0.46,0.91,0.03,0.05,1.0,0,0,5.21,1,0.39,0.43,0.2,0.36,1.0,0.0,0.0,0.0,0,0,1.34,3,5:00
UFC 293: Adesanya vs. Strickland,Kevin Jousset,Kiefer Crosbie,Kevin Jousset, Submission ,0,0.5,0.62,0.13,0.24,0.86,0.13,0.0,1.0,1,0,0.45,0,0.66,0.51,0.23,0.25,0.92,0.07,0.0,0.0,0,0,0.0,1,4:49
UFC Fight Night: Gane vs. Spivac,Zarah Fairn,Jacqueline Cavalcanti,Jacqueline Cavalcanti, Decision - Unanimous ,0,0.15,0.64,0.2,0.15,1.0,0.0,0.0,0.0,0,0,0.04,0,0.57,0.34,0.15,0.5,0.92,0.07,0.0,0.0,0,0,0.08,3,5:00
UFC Fight Night: Grasso vs. Shevchenko 2,Josefine Knutsson,Marnic Mann,Josefine Knutsson, Decision - Unanimous ,0,0.63,0.65,0.24,0.09,0.46,0.09,0.43,0.75,0,0,10.49,0,0.27,0.75,0.0,0.25,1.0,0.0,0.0,0.0,0,0,0.33,3,5:00
UFC Fight Night: Fiziev vs. Gamrot,Tamires Vidal,Montserrat Rendon,Montserrat Rendon, Decision - Split ,0,0.55,0.28,0.05,0.66,1.0,0.0,0.0,0.0,1,0,0.54,0,0.37,0.65,0.15,0.18,0.79,0.01,0.18,0.6,0,0,4.51,3,5:00
UFC Fight Night: Dawson vs. Green,Montana De La Rosa,JJ Aldrich,JJ Aldrich, Decision - Unanimous ,0,0.32,0.61,0.19,0.19,0.88,0.11,0.0,0.0,0,0,0.0,0,0.48,0.84,0.13,0.01,0.89,0.1,0.0,0.0,0,0,0.22,3,5:00
UFC Fight Night: Yusuff vs. Barboza,Ashley Yoder,Emily Ducote,Emily Ducote, Decision - Unanimous ,0,0.37,0.57,0.31,0.1,0.91,0.08,0.0,0.0,0,0,0.09,0,0.55,0.58,0.24,0.16,1.0,0.0,0.0,1.0,0,0,0.03,3,5:00
UFC 294: Makhachev vs. Volkanovski 2,Shara Magomedov,Bruno Silva,Shara Magomedov, Decision - Unanimous ,0,0.73,0.49,0.19,0.3,0.65,0.13,0.21,0.0,0,0,0.0,0,0.71,0.78,0.09,0.12,0.53,0.07,0.38,0.42,0,0,6.44,3,5:00
UFC 295: Prochazka vs. Pereira,Dennis Buzukja,Jamall Emmers,Jamall Emmers, KO/TKO ,0,0.42,0.0,0.33,0.66,1.0,0.0,0.0,0.0,0,0,0.0,1,0.7,0.57,0.14,0.28,0.71,0.0,0.28,0.0,0,0,0.03,1,0:49
UFC Fight Night: Almeida vs. Lewis,Kaue Fernandes,Marc Diakiese,Marc Diakiese, Decision - Split ,0,0.54,0.26,0.34,0.39,0.91,0.08,0.0,1.0,0,0,1.27,0,0.4,0.84,0.15,0.0,0.53,0.15,0.3,0.37,0,1,8.38,3,5:00
UFC Fight Night: Allen vs. Craig,Charles Johnson,Rafael Estevam,Rafael Estevam, Decision - Unanimous ,0,0.66,0.52,0.37,0.09,0.73,0.25,0.01,0.0,0,1,0.43,0,0.41,0.55,0.33,0.11,0.61,0.16,0.22,0.13,1,0,9.23,3,5:00
UFC Fight Night: Dariush vs. Tsarukyan,Veronica Hardy,Jamey-Lyn Horth,Veronica Hardy, Decision - Split ,0,0.42,0.67,0.25,0.06,0.69,0.3,0.0,0.5,0,0,1.34,0,0.49,0.37,0.46,0.16,0.53,0.46,0.0,0.33,0,0,3.59,3,5:00
UFC Fight Night: Song vs. Gutierrez,Rayanne dos Santos,Talita Alencar,Talita Alencar, Decision - Split ,0,0.43,0.71,0.19,0.08,0.78,0.19,0.01,0.0,0,0,0.14,0,0.22,0.58,0.33,0.08,0.58,0.22,0.19,0.11,0,0,2.44,3,5:00
UFC 296: Edwards vs. Covington,Martin Buday,Shamil Gaziev,Shamil Gaziev, KO/TKO ,0,0.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.2,0,0.5,0.71,0.28,0.0,0.71,0.1,0.18,0.0,0,0,2.18,2,0:56
UFC 2: No Way Out,Scott Morris,Sean Daugherty,Scott Morris, Submission ,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0:20
UFC 2: No Way Out,Patrick Smith,Ray Wizard,Patrick Smith, Submission ,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0,0.0,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0.0,1,0:58
UFC 2: No Way Out,Johnny Rhodes,David Levicki,Johnny Rhodes, KO/TKO ,0,0.64,0.81,0.09,0.09,0.09,0.09,0.81,1.0,0,0,0.0,0,0.8,1.0,0.0,0.0,0.25,0.5,0.25,0.0,0,0,0.0,1,12:13
UFC 2: No Way Out,Frank Hamaker,Thaddeus Luster,Frank Hamaker, Submission ,0,0.66,1.0,0.0,0.0,0.5,0.0,0.5,1.0,3,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,4:52
UFC 2: No Way Out,Orlando Wiet,Robert Lucarelli,Orlando Wiet, KO/TKO ,0,0.66,0.87,0.12,0.0,0.12,0.0,0.87,0.0,0,0,0.0,0,0.33,0.5,0.0,0.5,1.0,0.0,0.0,1.0,1,0,0.0,1,2:50
UFC 2: No Way Out,Remco Pardoel,Alberta Cerra Leon,Remco Pardoel, Submission ,0,0.66,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0.0,0,0.33,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,1,9:51
UFC 2: No Way Out,Jason DeLucia,Scott Baker,Jason DeLucia, Submission ,0,0.6,0.33,0.33,0.33,0.66,0.0,0.33,0.0,5,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,0.0,1,6:41
UFC 2: No Way Out,Royce Gracie,Minoki Ichihara,Royce Gracie, Submission ,0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2,0,0.0,0,0.42,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,1,5:08
UFC 2: No Way Out,Patrick Smith,Scott Morris,Patrick Smith, KO/TKO ,0,0.76,0.92,0.07,0.0,0.0,0.07,0.92,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0:30
UFC 2: No Way Out,Johnny Rhodes,Fred Ettish,Johnny Rhodes, Submission ,1,0.44,0.92,0.0,0.07,0.23,0.07,0.69,0.0,1,0,0.0,0,0.57,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0,0,0.0,1,3:07
UFC 2: No Way Out,Remco Pardoel,Orlando Wiet,Remco Pardoel, KO/TKO ,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0.0,1,1:29
UFC 2: No Way Out,Royce Gracie,Jason DeLucia,Royce Gracie, Submission ,0,0.0,0.33,0.34,0.33,0.33,0.34,0.33,0.0,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,1,1:07
UFC 2: No Way Out,Patrick Smith,Johnny Rhodes,Patrick Smith, Submission ,0,0.41,0.2,0.4,0.4,0.6,0.4,0.0,0.0,1,0,0.0,0,0.44,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0,0,0.0,1,1:07
UFC 2: No Way Out,Royce Gracie,Remco Pardoel,Royce Gracie, Submission ,0,0.0,0.33,0.34,0.33,0.33,0.34,0.33,0.5,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,1:31
UFC 2: No Way Out,Royce Gracie,Patrick Smith,Royce Gracie, KO/TKO ,0,1.0,0.75,0.0,0.25,0.0,0.25,0.75,0.5,0,0,0.0,0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,1,1:17
UFC 296: Edwards vs. Covington,Andre Fili,Lucas Almeida,Andre Fili, KO/TKO ,1,0.55,0.8,0.15,0.05,0.4,0.0,0.6,0.0,0,0,0.15,0,0.4,0.1,0.0,0.9,1.0,0.0,0.0,0.0,0,0,0.0,1,3:32
UFC 296: Edwards vs. Covington,Tagir Ulanbekov,Cody Durden,Tagir Ulanbekov, Submission ,1,0.58,0.79,0.16,0.04,0.62,0.2,0.16,1.0,5,1,6.03,0,0.74,0.68,0.09,0.21,0.75,0.09,0.15,0.0,0,0,0.36,2,4:25
UFC 296: Edwards vs. Covington,Casey O'Neill,Ariane da Silva,Ariane da Silva, Submission ,0,0.41,0.54,0.09,0.35,0.93,0.06,0.0,0.0,0,0,0.2,0,0.5,0.7,0.25,0.04,0.57,0.14,0.28,1.0,1,0,0.58,2,1:18
UFC 296: Edwards vs. Covington,Cody Garbrandt,Brian Kelleher,Cody Garbrandt, KO/TKO ,1,0.48,0.8,0.1,0.1,0.8,0.2,0.0,0.0,0,0,0.19,0,0.68,0.52,0.05,0.41,1.0,0.0,0.0,0.0,0,0,0.36,1,3:42
UFC 296: Edwards vs. Covington,Irene Aldana,Karol Rosa,Irene Aldana, Decision - Unanimous ,0,0.47,0.84,0.13,0.02,1.0,0.0,0.0,0.0,0,0,0.0,0,0.58,0.5,0.02,0.46,1.0,0.0,0.0,0.0,0,0,0.0,3,5:00
UFC 296: Edwards vs. Covington,Alonzo Menifield,Dustin Jacoby,Alonzo Menifield, Decision - Unanimous ,1,0.58,0.85,0.02,0.11,0.75,0.2,0.04,0.5,0,0,2.03,0,0.62,0.74,0.16,0.09,0.83,0.16,0.0,0.0,0,0,2.08,3,5:00
UFC 296: Edwards vs. Covington,Josh Emmett,Bryce Mitchell,Josh Emmett, KO/TKO ,1,0.2,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,1:57
UFC 296: Edwards vs. Covington,Tony Ferguson,Paddy Pimblett,Paddy Pimblett, Decision - Unanimous ,0,0.59,0.56,0.37,0.06,0.82,0.0,0.17,0.0,0,0,0.0,1,0.64,0.68,0.12,0.18,0.62,0.0,0.37,0.25,0,0,8.53,3,5:00
UFC 296: Edwards vs. Covington,Shavkat Rakhmonov,Stephen Thompson,Shavkat Rakhmonov, Submission ,0,0.77,0.85,0.14,0.0,0.17,0.35,0.46,0.2,2,0,7.45,0,0.64,0.37,0.43,0.18,0.81,0.06,0.12,0.0,0,0,0.0,2,4:56
UFC 296: Edwards vs. Covington,Alexandre Pantoja,Brandon Royval,Alexandre Pantoja, Decision - Unanimous ,0,0.6,0.51,0.23,0.25,0.77,0.05,0.16,0.57,1,0,15.51,0,0.54,0.91,0.06,0.01,0.81,0.04,0.13,0.0,0,2,0.47,5,5:00
UFC 296: Edwards vs. Covington,Leon Edwards,Colby Covington,Leon Edwards, Decision - Unanimous ,0,0.52,0.36,0.24,0.38,0.98,0.0,0.01,0.66,2,1,1.27,0,0.34,0.45,0.15,0.38,1.0,0.0,0.0,0.2,0,0,5.04,5,5:00
