draws,height_cm,losses,name,reach_cm,stance,strikes_per_min,striking_accuracy,submission_avg,takedown_accuracy,takedown_avg,takedown_defense,weight_kg,wins
,172.72,,Hunter Azure,175.26,,3.92,0.53,1.3,0.34,2.08,0.67,65.77,
,180.34,,Michael Byrnes,,,0.0,0.0,0.0,0.0,0.0,0.0,70.31,
,180.34,,Yan Cabral,185.42,,2.02,0.47,1.2,0.35,1.98,0.37,70.31,
,175.26,,Gleidson Cutis,,,2.99,0.52,0.0,0.0,8.28,0.0,70.31,
,170.18,,Sarah D'alelio,,,2.4,0.33,0.0,0.0,0.0,1.0,65.77,
,172.72,,Rolando Dy,175.26,,3.04,0.37,0.0,0.2,4.47,0.68,65.77,
,167.64,,Jessica Eye,167.64,,3.86,0.37,0.5,0.4,4.19,0.57,56.7,
,,,Neal Ewing,,,2.27,0.6,0.0,0.62,1.93,0.0,83.91,
,182.88,,Katsuaki Furuki,,,0.27,0.1,3.0,0.0,2.67,0.0,76.2,
,177.8,,Ricardo Funch,187.96,,2.61,0.65,0.0,0.18,3.57,0.6,77.11,
,182.88,,Mike Guymon,187.96,,2.75,0.65,1.2,0.37,0.79,0.54,77.11,
,167.64,,Mando Gutierrez,177.8,,0.8,0.75,1.0,1.0,1.33,0.4,61.23,
,175.26,,Young Hwang,,,0.0,0.0,0.0,0.0,0.0,0.0,61.23,
,180.34,,Solomon Hutcherson,,,2.59,0.39,0.0,1.0,2.59,0.0,83.91,
,,,Hiroshi Izumi,,,1.95,0.37,0.5,0.7,2.65,1.0,92.99,
,180.34,,Yoislandy Izquierdo,,,2.93,0.52,0.0,0.0,1.4,0.5,70.31,
,172.72,,Cristiane Justino,172.72,,7.28,0.52,0.4,0.55,2.25,0.94,65.77,
,177.8,,Myles Jury,185.42,,2.94,0.42,0.3,0.55,2.16,0.5,65.77,
,165.1,,Lisa Kyriacou,162.56,,4.67,0.41,0.0,0.0,4.4,0.33,56.7,
,165.1,,Juliana Lima,165.1,,1.94,0.44,0.0,0.31,2.11,0.7,52.16,
,180.34,,Chris Lytle,172.72,,3.76,0.45,2.4,0.55,3.03,0.55,77.11,
,177.8,,Adam Lynn,,,1.47,0.63,0.0,0.0,6.95,0.5,70.31,
,170.18,,Alberto Montes,175.26,,4.98,0.66,9.8,0.0,4.85,0.66,65.77,
,195.58,,Kennedy Nzechukwu,210.82,,5.37,0.46,0.2,0.45,4.89,0.81,107.05,
,172.72,,Umar Nurmagomedov,175.26,,4.38,0.57,0.3,0.39,2.15,0.78,61.23,
,165.1,,Alptekin Ozkilic,165.1,,3.81,0.32,0.0,0.58,5.72,0.75,56.7,
,170.18,,Ren Ozaki,172.72,,1.2,0.35,0.0,0.0,1.07,0.36,61.23,
,182.88,,Pat Pytlik,185.42,,3.12,0.56,0.0,0.0,4.56,0.33,77.11,
,182.88,,Mike Pyle,187.96,,2.74,0.45,1.5,0.35,2.84,0.7,77.11,
,187.96,,Joe Pyfer,190.5,,3.72,0.41,0.9,0.41,3.48,0.5,83.91,
,172.72,,Cristian Quinonez,177.8,,4.19,0.4,0.0,0.37,4.55,0.84,61.23,
,172.72,,Jose Quinonez,175.26,,3.6,0.45,0.6,0.47,3.0,0.42,61.23,
,175.26,,Landon Quinones,177.8,,6.77,0.4,0.0,0.33,7.7,1.0,70.31,
,177.8,,Michel Quinones,185.42,,2.91,0.29,0.0,0.0,5.98,0.36,70.31,
,172.72,,Ryan Quinn,,,2.31,0.41,1.9,0.0,1.67,0.0,65.77,
,182.88,,Josh Quinlan,182.88,,3.57,0.42,0.0,0.11,6.38,0.71,77.11,
,182.88,,Jimmy Quinlan,,,2.08,0.7,0.0,0.25,5.94,0.0,83.91,
,200.66,,Vinicius Queiroz,,,3.67,0.51,0.7,0.7,4.1,1.0,99.79,
,182.88,,Nate Quarry,182.88,,4.96,0.44,0.0,0.33,2.8,0.6,83.91,
,177.8,,Billy Quarantillo,177.8,,7.44,0.54,1.0,0.24,5.83,0.61,65.77,
,172.72,,Gary Quan,,,0.0,0.0,0.0,0.0,0.0,0.0,64.86,
