draws,height_cm,losses,name,reach_cm,stance,strikes_per_min,striking_accuracy,submission_avg,takedown_accuracy,takedown_avg,takedown_defense,weight_kg,wins
,,,Tom Aaron,,,0.0,0.0,0.0,0.0,0.0,0.0,70.31,
,193.04,,Israel Adesanya,203.2,,4.02,0.48,0.1,0.11,3.2,0.76,83.91,
,165.1,,Zarrukh Adashev,165.1,,3.65,0.4,0.5,0.0,3.04,1.0,56.7,
,185.42,,Anthony Adams,193.04,,3.17,0.41,0.0,0.0,5.93,0.0,83.91,
,195.58,,Juan Adams,203.2,,7.09,0.55,0.0,0.66,4.06,0.57,120.2,
,182.88,,Scott Adams,,,0.0,0.0,0.0,0.0,0.0,0.0,102.06,
,175.26,,John Adajar,190.5,,3.9,0.52,0.0,0.0,6.28,0.0,77.11,
,172.72,,Daniel Acacio,,,3.52,0.36,0.0,0.2,2.85,0.81,81.65,
,,,Cyborg Abreu,,,0.0,0.0,0.0,0.0,0.0,0.0,,
,182.88,,Klidson Abreu,187.96,,2.05,0.4,0.0,0.2,2.9,0.8,92.99,
,180.34,,Ricardo Abreu,,,3.79,0.31,0.7,0.42,3.98,1.0,83.91,
,180.34,,Papy Abedi,,,2.8,0.55,1.3,0.57,3.15,0.5,83.91,
,180.34,,Daichi Abe,180.34,,3.8,0.33,0.0,0.5,4.49,0.0,77.11,
,167.64,,Hiroyuki Abe,,,1.71,0.36,0.0,0.0,3.11,0.33,65.77,
,190.5,,Shamil Abdurakhimov,193.04,,2.41,0.44,0.1,0.23,3.02,0.45,106.59,
,187.96,,Mansur Abdul-Malik,200.66,,5.29,0.54,0.0,0.33,3.84,0.82,83.91,
,172.72,,Hunter Azure,175.26,,3.92,0.53,1.3,0.34,2.08,0.67,65.77,
,190.5,,Luciano Azevedo,,,0.76,0.45,0.0,0.11,1.97,0.0,73.03,
,175.26,,Luiz Azeredo,,,2.16,0.39,0.3,0.5,2.76,0.45,69.85,
,172.72,,Ottman Azaitar,180.34,,4.43,0.44,0.0,0.0,4.11,1.0,70.31,
,175.26,,Abu Azaitar,193.04,,4.38,0.43,0.0,0.37,4.32,0.42,83.91,
,182.88,,Jessin Ayari,185.42,,3.53,0.37,0.3,0.0,3.59,0.5,70.31,
,185.42,,Javy Ayala,,,0.83,0.25,0.0,0.0,5.0,0.0,120.2,
,180.34,,Saad Awad,,,2.13,0.26,0.5,0.16,1.87,1.0,70.31,
,170.18,,Julia Avila,172.72,,2.81,0.42,0.2,0.37,3.28,0.52,61.23,
,177.8,,Chris Avila,,,2.37,0.3,0.0,0.0,4.17,0.46,65.77,
,170.18,,Anthony Avila,,,0.0,0.0,0.0,0.0,0.0,0.0,65.77,
,185.42,,Levi Avera,,,0.0,0.0,0.0,0.0,0.0,0.0,77.11,
,182.88,,Blas Avena,187.96,,2.34,0.47,1.8,0.8,3.36,0.5,77.11,
,175.26,,David Avellan,,,3.33,0.25,0.0,0.0,10.0,0.0,83.91,
,177.8,,Marcus Aurelio,187.96,,1.42,0.33,1.3,0.27,2.27,0.27,70.31,
