name,height_cm,weight_kg,reach_cm,strikes_per_min,striking_accuracy,takedown_avg,takedown_accuracy,takedown_defense,submission_avg
Tom Aaron,,70.31,,0.0,0.0,0.0,0.0,0.0,0.0
Israel Adesanya,193.04,83.91,203.2,4.02,0.48,3.2,0.11,0.76,0.1
Zarrukh Adashev,165.1,56.7,165.1,3.65,0.4,3.04,0.0,1.0,0.5
Anthony Adams,185.42,83.91,193.04,3.17,0.41,5.93,0.0,0.0,0.0
Juan Adams,195.58,120.2,203.2,7.09,0.55,4.06,0.66,0.57,0.0
Scott Adams,182.88,102.06,,0.0,0.0,0.0,0.0,0.0,0.0
John Adajar,175.26,77.11,190.5,3.9,0.52,6.28,0.0,0.0,0.0
Daniel Acacio,172.72,81.65,,3.52,0.36,2.85,0.2,0.81,0.0
Cyborg Abreu,,,,0.0,0.0,0.0,0.0,0.0,0.0
Klidson Abreu,182.88,92.99,187.96,2.05,0.4,2.9,0.2,0.8,0.0
Ricardo Abreu,180.34,83.91,,3.79,0.31,3.98,0.42,1.0,0.7
Papy Abedi,180.34,83.91,,2.8,0.55,3.15,0.57,0.5,1.3
Daichi Abe,180.34,77.11,180.34,3.8,0.33,4.49,0.5,0.0,0.0
Hiroyuki Abe,167.64,65.77,,1.71,0.36,3.11,0.0,0.33,0.0
Shamil Abdurakhimov,190.5,106.59,193.04,2.41,0.44,3.02,0.23,0.45,0.1
Mansur Abdul-Malik,187.96,83.91,200.66,5.29,0.54,3.84,0.33,0.82,0.0
Hunter Azure,172.72,65.77,175.26,3.92,0.53,2.08,0.34,0.67,1.3
Luciano Azevedo,190.5,73.03,,0.76,0.45,1.97,0.11,0.0,0.0
Luiz Azeredo,175.26,69.85,,2.16,0.39,2.76,0.5,0.45,0.3
Ottman Azaitar,172.72,70.31,180.34,4.43,0.44,4.11,0.0,1.0,0.0
Abu Azaitar,175.26,83.91,193.04,4.38,0.43,4.32,0.37,0.42,0.0
Jessin Ayari,182.88,70.31,185.42,3.53,0.37,3.59,0.0,0.5,0.3
Javy Ayala,185.42,120.2,,0.83,0.25,5.0,0.0,0.0,0.0
Saad Awad,180.34,70.31,,2.13,0.26,1.87,0.16,1.0,0.5
Julia Avila,170.18,61.23,172.72,2.81,0.42,3.28,0.37,0.52,0.2
Chris Avila,177.8,65.77,,2.37,0.3,4.17,0.0,0.46,0.0
Anthony Avila,170.18,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
Levi Avera,185.42,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Blas Avena,182.88,77.11,187.96,2.34,0.47,3.36,0.8,0.5,1.8
David Avellan,175.26,83.91,,3.33,0.25,10.0,0.0,0.0,0.0
Marcus Aurelio,177.8,70.31,187.96,1.42,0.33,2.27,0.27,0.27,1.3
Jose Augusto,190.5,113.85,,0.0,0.0,0.0,0.0,0.0,0.0
Pat Audinwood,182.88,70.31,,1.17,0.12,4.31,0.5,0.0,0.0
Olivier Aubin-Mercier,175.26,70.31,177.8,2.48,0.51,2.97,0.33,0.7,0.5
Rich Attonito,177.8,77.11,182.88,2.28,0.47,2.13,0.37,0.75,0.0
Bazigit Atajev,185.42,104.33,,0.87,0.41,3.14,0.33,0.0,0.0
Michael Aswell,172.72,65.77,175.26,10.33,0.5,6.8,0.0,0.57,0.0
Raphael Assuncao,165.1,61.23,167.64,3.22,0.42,2.5,0.39,0.78,0.2
Junior Assuncao,175.26,65.77,182.88,3.31,0.62,2.06,0.24,0.66,0.7
Bruno Assis,187.96,83.91,,1.27,0.43,3.2,0.5,0.66,1.0
Tom Aspinall,195.58,116.12,198.12,8.07,0.67,2.89,1.0,1.0,1.6
Ibo Aslan,190.5,92.99,195.58,7.84,0.5,4.43,0.0,0.83,0.0
